id,GEO_ID,GEO_ID_F,NAME,NAICS2017,NAICS2017_F,INDLEVEL,NAICS2017_LABEL,SUBSECTOR,SECTOR,INDGROUP,YEAR,RCPTOT,RCPTOT_S,PAYANN,PAYANN_S,PAYQTR1,PAYQTR1_S,EMP,EMP_S,EMPQ1PW,EMPQ1PW_S,HOURS,HOURS_S,PAYANPW,PAYANPW_S,BENEFIT,BENEFIT_S,BENHEA,BENHEA_S,BENPEB,BENPEB_S,BENPEC,BENPEC_S,BENOTH,BENOTH_S,CSTMTOT,CSTMTOT_S,CSTMPRT,CSTMPRT_S,CSTRSL,CSTRSL_S,CSTFU,CSTFU_S,CSTELEC,CSTELEC_S,CSTCNT,CSTCNT_S,ELECPCH,ELECPCH_S,ELECGEN,ELECGEN_S,ELECSLD,ELECSLD_S,VALADD,VALADD_S,INVTOTB,INVTOTB_S,INVFINB,INVFINB_S,INVWIPB,INVWIPB_S,INVMATB,INVMATB_S,INVTOTE,INVTOTE_S,INVFINE,INVFINE_S,INVWIPE,INVWIPE_S,INVMATE,INVMATE_S,CEXTOT,CEXTOT_S,CEXBLD,CEXBLD_S,CEXMCH,CEXMCH_S,CEXMCHA,CEXMCHA_S,CEXMCHC,CEXMCHC_S,CEXMCHO,CEXMCHO_S,RPTOT,RPTOT_S,RPBLD,RPBLD_S,RPMCH,RPMCH_S,PCHTT,PCHTT_S,PCHTEMP,PCHTEMP_S,PCHCMPQ,PCHCMPQ_S,PCHEXSO,PCHEXSO_S,PCHDAPR,PCHDAPR_S,PCHCSVC,PCHCSVC_S,PCHRPR,PCHRPR_S,PCHRFUS,PCHRFUS_S,PCHADVT,PCHADVT_S,PCHPRTE,PCHPRTE_S,PCHTAX,PCHTAX_S,PCHOEXP,PCHOEXP_S,RCPTOT_IMP,PAYANN_IMP,EMP_IMP
542,0100000US,null,United States,326113,null,6,Unlaminated plastics film and sheet (except packaging) manufacturing,326,31,3261,2019,14566350,0.6,1949303,0.7,509128,0.8,31328,0.9,22953,1,47335,0.9,1237475,0.8,573296,0.8,261973,1,29207,1.1,72679,0.8,209437,0.9,8046731,1.1,7401613,1.1,262363,1.1,55127,4,259340,1.2,68288,1,3489737,1,D,D,0,X,6413990,0.7,2131663,0.7,949342,0.8,301796,0.8,880525,0.9,1978905,0.7,857653,0.8,287857,0.7,833395,1,522952,1.3,105630,1.8,417322,1.5,8109,2.2,21832,0.4,387382,1.5,106420,2.6,81251,3.1,25169,6.1,1107025,2.2,131825,5.4,14739,2.7,9750,3.8,7107,5.8,12570,4.5,180934,2.2,44736,5.1,18427,2.2,59467,1.9,49611,3.5,577858,2.5,40% to less than 50%,30% to less than 40%,40% to less than 50%
543,0100000US,null,United States,32612,null,5,"Plastics pipe, pipe fitting, and unlaminated profile shape manufacturing",326,31,3261,2018,20808328,0.7,2190429,0.5,535876,0.7,40216,0.5,31168,0.5,61705,0.6,1405504,0.7,675556,0.6,304752,0.7,25674,2.6,61014,1.8,284117,0.8,9479469,1,8848119,1.1,184574,9.5,46507,1.2,307133,0.8,93136,0.4,4049698,0.5,D,D,D,D,11451380,0.7,2369694,1,1378598,2,203985,0.7,787110,2.1,2574199,1.9,1495329,1.5,209776,1,869095,4,473170,3.1,64339,5.4,408832,2.9,13179,5.5,8791,12.5,386862,2.8,176918,1.8,135031,1.6,41887,3.7,1347497,4,157077,5.2,18676,4.6,20709,3.4,8678,16.6,19692,4.9,245055,3.8,40283,4,25846,5.6,64150,4,76058,5.5,671274,4.6,40% to less than 50%,20% to less than 30%,40% to less than 50%
544,0100000US,null,United States,32612,null,5,"Plastics pipe, pipe fitting, and unlaminated profile shape manufacturing",326,31,3261,2019,20282706,0.8,2189096,0.9,550100,0.9,39818,0.9,30504,1.2,63462,1.4,1412255,1.4,704910,0.9,313390,1.3,23863,1.5,61586,1.2,306072,0.7,9206937,0.9,8597254,1,176971,13.3,42250,3,299163,1.5,91299,1,4038408,1.1,D,D,D,D,10988347,1.1,2486329,0.8,1477280,1.2,202921,2.2,806128,1,2402281,1,1386773,1.4,206007,1.1,809502,1,609677,3.2,100837,4.9,508839,3.4,12485,7.3,9871,4.2,486483,3.4,169605,1.6,128557,1.7,41047,4,1241355,2.2,135278,3.9,20868,8.5,11084,4.6,6813,4.4,17366,3.2,197074,2.5,33410,2.5,24851,2.3,67904,2.3,67465,3.1,659243,2.9,50% to less than 60%,30% to less than 40%,40% to less than 50%
545,0100000US,null,United States,326121,null,6,Unlaminated plastics profile shape manufacturing,326,31,3261,2018,8477168,1.3,1034330,1,252437,0.9,17772,1,12991,1,26133,1.3,598939,1.4,297401,1.2,134545,1.3,8625,7.5,27494,3.2,126737,1.2,2819566,2.9,2525573,3.2,121881,3.1,20738,0.6,95969,1.7,55406,0.6,1176075,0.4,D,D,D,D,5690963,0.9,706773,0.8,309578,1,115261,0.8,281934,1.1,774518,5.5,343603,5.4,114597,0.5,316317,7.6,196394,4,29088,5.5,167306,4,5041,2.4,4379,23.9,157886,3.7,66141,2.6,52973,2.2,13168,4.3,436875,6,61095,6.9,13174,5.6,5143,5.8,4188,31.1,6868,6.4,69895,8.3,22913,5.1,8531,10.3,31723,4.5,19575,14.2,193769,8,30% to less than 40%,20% to less than 30%,40% to less than 50%
546,0100000US,null,United States,326121,null,6,Unlaminated plastics profile shape manufacturing,326,31,3261,2019,8798252,1.5,1034463,1.6,263852,1.4,17415,1.4,12449,2,26846,2.2,600083,2.9,313528,1.6,140039,2.3,8226,2.2,27036,1.4,138228,1.2,2791723,2.4,2512855,2.7,116101,1.3,18313,4.5,88234,4.6,56219,1,1166392,2.9,D,D,D,D,6000207,1.4,731327,1.3,335960,3.2,113138,0.8,282230,1.3,726674,1.7,334133,4.1,108643,0.8,283898,1.2,277592,4.5,59474,8.2,218118,4.6,2369,3.6,5422,3.1,210327,4.7,67526,2.3,53614,2.9,13912,2.1,455360,3.9,73661,6.4,14278,3.9,5878,8.2,2831,8.2,6604,7.3,61447,4.4,16078,3.4,9506,4.6,35096,3.8,19489,9.7,210491,4.7,60% to less than 70%,20% to less than 30%,40% to less than 50%
547,0100000US,null,United States,326122,null,6,Plastics pipe and pipe fitting manufacturing,326,31,3261,2018,12331160,0.8,1156099,0.4,283438,1.1,22444,0.4,18177,0.4,35571,0.4,806565,0.5,378155,0.7,170207,0.8,17048,1.1,33520,1.8,157380,1,6659902,0.8,6322546,0.9,62693,27.4,25769,2.1,211164,0.8,37730,0.6,2873623,0.7,0,X,0,X,5760417,1,1662921,1.4,1069020,2.5,88724,1.1,505176,3.1,1799682,1.3,1151726,1,95179,2.2,552777,4.6,276776,4.5,35251,8.8,241525,4,8137,8.7,4412,7.5,228976,3.9,110777,2.4,82057,2.2,28720,5.1,910623,5.1,95982,7.2,5502,7.8,15566,4.1,4490,13.8,12824,6.7,175160,4.1,17370,6.4,17315,6.6,32427,6.7,56483,5.6,477505,5.6,50% to less than 60%,30% to less than 40%,50% to less than 60%
548,0100000US,null,United States,326122,null,6,Plastics pipe and pipe fitting manufacturing,326,31,3261,2019,11484454,0.9,1154633,0.9,286248,1,22403,1.1,18054,1.4,36616,1.8,812172,1,391382,0.9,173351,1.4,15637,2,34550,1.8,167845,0.8,6415214,0.7,6084398,0.9,60870,38.4,23937,3.9,210929,1,35080,2,2872016,1,0,X,0,X,4988140,1.7,1755002,1,1141320,1.2,89784,4.8,523898,1.4,1675608,1.2,1052640,1.4,97364,2.1,525603,1.5,332085,4.6,41363,2.6,290721,4.9,10116,8.9,4449,8.6,276156,4.7,102079,2.2,74943,2.1,27136,6,785995,2.7,61617,4,6590,25.6,5206,3.3,3982,4.9,10761,2.5,135626,3,17331,3.5,15345,2.4,32809,2.6,47976,1.7,448752,3.6,40% to less than 50%,30% to less than 40%,40% to less than 50%
549,0100000US,null,United States,32613,null,5,"Laminated plastics plate, sheet (except packaging), and shape manufacturing",326,31,3261,2018,4314372,1.2,679745,0.7,179916,4.2,11756,0.5,8819,1,17622,1.4,395617,1.1,218633,0.9,106415,0.9,6368,0.5,23790,2,82060,1.6,1857530,1.2,1747198,1.3,9138(s),59.8,21944,2.5,48150,1.4,31100,7.1,620877,1.4,12435(s),94.7,D,D,2479503,1.4,525323,0.8,270357,4.3,58732,4,196235,6.7,601115,0.5,280811,0.8,70939,2.8,249365,1.2,132356,8.7,11800,1.8,120556,9.5,3878,0.9,2821,8.6,113857,10,44237,1.7,34566,1.7,9671,3.4,297520,6.9,41133,10,4579,7.7,2929,3.7,2885,6.6,4455,4.5,36796,10.7,20025,3.5,20304,0.8,16984,6.8,12766,5.4,134663,11.2,30% to less than 40%,10% to less than 20%,20% to less than 30%
550,0100000US,null,United States,32613,null,5,"Laminated plastics plate, sheet (except packaging), and shape manufacturing",326,31,3261,2019,4384415,0.7,728301,1.2,183974,1.3,12580,0.9,9480,1.1,18961,1.3,419204,1,232836,1.8,112233,1.6,10669,4.3,24715,2.3,85219,2.8,1919566,0.7,1802265,0.7,13992,28,21747,0.9,49018,2,32544,5.5,623625,1.8,0,X,D,D,2489964,0.8,659772,2.2,277085,0.8,79244,4.6,303443,4.2,682743,0.8,301763,1.1,79681,2.3,301300,0.8,98270,9.7,15560,26.6,82710,6.6,2239,12.9,2195,5.7,78276,6.9,39872,3.9,29408,2.6,10464,14.1,307042,6.2,35675,9.6,3169,5.7,4319,9.7,2672,9,5006,6.3,35971,8.2,22191,2.4,22564,2.9,29953,15.5,15420,7.5,130101,8.8,30% to less than 40%,30% to less than 40%,30% to less than 40%
551,0100000US,null,United States,326130,null,6,"Laminated plastics plate, sheet (except packaging), and shape manufacturing",326,31,3261,2018,4314372,1.2,679745,0.7,179916,4.2,11756,0.5,8819,1,17622,1.4,395617,1.1,218633,0.9,106415,0.9,6368,0.5,23790,2,82060,1.6,1857530,1.2,1747198,1.3,9138(s),59.8,21944,2.5,48150,1.4,31100,7.1,620877,1.4,12435(s),94.7,D,D,2479503,1.4,525323,0.8,270357,4.3,58732,4,196235,6.7,601115,0.5,280811,0.8,70939,2.8,249365,1.2,132356,8.7,11800,1.8,120556,9.5,3878,0.9,2821,8.6,113857,10,44237,1.7,34566,1.7,9671,3.4,297520,6.9,41133,10,4579,7.7,2929,3.7,2885,6.6,4455,4.5,36796,10.7,20025,3.5,20304,0.8,16984,6.8,12766,5.4,134663,11.2,30% to less than 40%,10% to less than 20%,20% to less than 30%
